	accession	species	accession_short	cluster	genus	taxname	biosample	voucher	location	latlong	identifier	paper
139	MF887066.1	Limoniidae sp.	MF887066	Cluster 37	Limoniidae	mitochondrion Limoniidae sp. BIOUG14676-A12	PRJNA472144	BIOUG14676-A12	Canada	49.477 N 57.97 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
301	MF885811.1	Limoniidae sp.	MF885811	Cluster 554	Limoniidae	mitochondrion Limoniidae sp. BIOUG15055-G07	PRJNA472144	BIOUG15055-G07	Canada	49.477 N 57.97 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
325	MF885558.1	Limoniidae sp.	MF885558	Cluster 736	Limoniidae	mitochondrion Limoniidae sp. BIOUG24344-B10	PRJNA472144	BIOUG24344-B10	Canada	48.794 N 123.31 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
346	MF892925.1	Molophilus sp.	MF892925	Cluster 675	Molophilus	mitochondrion Molophilus sp. BIOUG14427-C11	PRJNA472144	BIOUG14427-C11	Canada	49.429 N 57.741 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
347	MF892917.1	Molophilus oligacanthus	MF892917	Cluster 590	Molophilus	mitochondrion Molophilus oligacanthus	PRJNA472144	BIOUG24082-H08	Canada	48.794 N 123.31 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
481	MF891922.1	Ormosia pygmaea	MF891922	Cluster 725	Ormosia	mitochondrion Ormosia pygmaea	PRJNA472144	BIOUG13834-H06	Canada	45.59 N 64.985 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
482	MF891919.1	Limoniidae sp.	MF891919	Cluster 49	Limoniidae	mitochondrion Limoniidae sp. BIOUG19689-E11	PRJNA472144	BIOUG19689-E11	Canada	51.365 N 116.528 W	Valerie Levesque-Beaudin	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
539	MF891434.1	Limoniidae sp.	MF891434	Cluster 51	Limoniidae	mitochondrion Limoniidae sp. BIOUG22859-C05	PRJNA472144	BIOUG22859-C05	Canada	48.781 N 123.301 W	Valerie Levesque-Beaudin	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
707	MF890101.1	Chioneinae sp.	MF890101	Cluster 533	Chioneinae	mitochondrion Chioneinae sp. BIOUG20605-C06	PRJNA472144	BIOUG20605-C06	Canada	49.071 N 125.753 W	Angela Telfer	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
785	MF889494.1	Limoniidae sp.	MF889494	Cluster 55	Limoniidae	mitochondrion Limoniidae sp. BIOUG21868-A02	PRJNA472144	BIOUG21868-A02	Canada	49.044 N 125.684 W	Valerie Levesque-Beaudin	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
1002	MF885267.1	Erioptera sp.	MF885267	Cluster 747	Erioptera	mitochondrion Erioptera sp. BIOUG04005-F08	PRJNA472144	BIOUG04005-F08	Canada	51.209 N 115.51 W	Allison Brown	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
1081	MF884729.1	Limoniidae sp.	MF884729	Cluster 63	Limoniidae	mitochondrion Limoniidae sp. BIOUG21530-G09	PRJNA472144	BIOUG21530-G09	Canada	49.001 N 106.557 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
1104	MF884557.1	Limoniidae sp.	MF884557	Cluster 64	Limoniidae	mitochondrion Limoniidae sp. BIOUG24316-B03	PRJNA472144	BIOUG24316-B03	Canada	48.794 N 123.31 W	Kate Perez	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
1266	MF883269.1	Limoniidae sp.	MF883269	Cluster 71	Limoniidae	mitochondrion Limoniidae sp. BIOUG21000-B08	PRJNA472144	BIOUG21000-B08	Canada	51.259 N 117.538 W	Angela Telfer	A reference library for Canadian invertebrates with 1.5 million barcodes, voucher specimens, and DNA samples
1292	OK345400.1	Molophilus sp.	OK345400	Cluster 673	Molophilus	mitochondrion Molophilus sp.		BIOUG27296-B02	Australia	43.095 S 146.654 E	Zac D Billingham	Two new species of Crane fly (Diptera: Limoniidae) from Tasmania, Australia
1298	OK345394.1	Molophilus sp.	OK345394	Cluster 677	Molophilus	mitochondrion Molophilus sp.		BIOUG27322-F03	Australia	43.095 S 146.654 E	Zac D Billingham	Two new species of Crane fly (Diptera: Limoniidae) from Tasmania, Australia
1307	OK065546.1	Molophilus ater	OK065546	Cluster 74	Molophilus	mitochondrion Molophilus ater		JES-20110337	Finland	69.8761 N 27.8239 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1309	OK065538.1	Molophilus sp.	OK065538	Cluster 589	Molophilus	mitochondrion Molophilus sp. PII-20110063		PII-20110063	Finland	60.491 N 22.302 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1312	OK065430.1	Molophilus medius	OK065430	Cluster 76	Molophilus	mitochondrion Molophilus medius		JES-20110367	Finland	60.3407 N 24.6901 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1326	OK065167.1	Symplecta mabelana	OK065167	Cluster 83	Symplecta	mitochondrion Symplecta mabelana		JES-20120016	Finland	68.6449 N 27.5183 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1335	OM314167.1	Limoniidae sp.	OM314167	Cluster 87	Limoniidae	mitochondrion Limoniidae sp.		BIOUG24774-A01	Argentina	27.4447 S 54.9403 W	Angela Telfer	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1430	OM552972.1	Limoniidae sp.	OM552972	Cluster 105	Limoniidae	mitochondrion Limoniidae sp.		BIOUG24870-B01	Argentina	27.4447 S 54.9403 W	Allison Brown	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1444	OM613889.1	Limoniidae sp.	OM613889	Cluster 110	Limoniidae	mitochondrion Limoniidae sp.		BIOUG13578-G07	Argentina	27.4447 S 54.9403 W	Allison Brown	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1493	OM611192.1	Limoniidae sp.	OM611192	Cluster 123	Limoniidae	mitochondrion Limoniidae sp.		BIOUG13554-F07	Argentina	27.4447 S 54.9403 W	Valerie Levesque-Beaudin	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1541	OM608166.1	Limoniidae sp.	OM608166	Cluster 127	Limoniidae	mitochondrion Limoniidae sp.		BIOUG25176-C11	Argentina	27.4447 S 54.9403 W	Angela Telfer	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1685	OM604545.1	Limoniidae sp.	OM604545	Cluster 138	Limoniidae	mitochondrion Limoniidae sp.		BIOUG13426-C07	Argentina	27.4447 S 54.9403 W	Valerie Levesque-Beaudin	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1787	OM597916.1	Limoniidae sp.	OM597916	Cluster 145	Limoniidae	mitochondrion Limoniidae sp.		BIOUG13365-F08	Argentina	27.4447 S 54.9403 W	Valerie Levesque-Beaudin	DNA barcodes reveal striking arthropod diversity and unveil seasonal patterns of variation in the southern Atlantic Forest
1923	MW114542.1	Ilisia sp.	MW114542	Cluster 16	Ilisia	mitochondrion Ilisia sp. Ilisnew7		Ilisnew7				Conflict and congruence within the higher-level phylogeny of Tipuloidea (Insecta: Diptera) based on the multi-gene
1927	MW114538.1	Molophilus alexanderianus	MW114538	Cluster 20	Molophilus	mitochondrion Molophilus alexanderianus		Moloalex24				Conflict and congruence within the higher-level phylogeny of Tipuloidea (Insecta: Diptera) based on the multi-gene
1930	MW114533.1	Symplecta hybrida	MW114533	Cluster 23	Symplecta	mitochondrion Symplecta hybrida		Symphybr9				Conflict and congruence within the higher-level phylogeny of Tipuloidea (Insecta: Diptera) based on the multi-gene
1944	MZ610961.1	Erioptera sordida	MZ610961	Cluster 158	Erioptera	mitochondrion Erioptera sordida		JES-20110280	Finland	61.1833 N 25.4328 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
1958	MZ610451.1	Molophilus crassipygus	MZ610451	Cluster 167	Molophilus	mitochondrion Molophilus crassipygus		JES-20110355	Finland	67.8516 N 26.4824 E	Jukka E. Salmela	A molecular-based identification resource for the arthropods of Finland
